subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
171330,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.00980549848581399,-0.0312295089558065
171330,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0250283011424489,0.099141266071307
178243,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0447191569809489,0.157541326916428
178243,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.0150326933779938,-0.0529587456871303
178243,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,-0.0260061167048438,-0.113947292041972
178647,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,-0.00699003915594976,-0.0276735313943409
178647,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.00852485084588808,-0.0337498434919283
178647,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0327709156211763,0.161361959889797
178950,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0449664144886906,0.19827089972714
178950,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,0.0031324984221926,0.013812159310994
178950,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.02773214253608,0.152083378593801
182436,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,-0.000451364340059502,-0.0021816464741736
182436,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.00168884103952843,-0.00816292686932497
182436,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0640102500085739,0.384799293080587
197449,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,-0.00281630766349664,-0.00861030242303971
197449,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.0389636920603665,-0.119123764958767
197449,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.00823959533552909,0.031330822924335
203418,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.03197641552398,0.10609707226642
203418,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.00178497137109963,-0.00592249736093818
203418,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0634159315365741,0.26169752033659
204319,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,-0.0102811705116906,-0.0249259262398778
