subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
178243,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.0159744252951135,-0.0562763774547819
178243,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,-0.0186534498551403,-0.0804832832375976
178647,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,-0.00689718192291329,-0.027305910055419
178647,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.00843199361285162,-0.0333822221530065
178647,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.016942601208807,0.0821505910174813
178950,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0458408917555231,0.202126741836353
178950,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.00400697568902511,0.0176680014202069
178950,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0191129348690352,0.103215216386067
182436,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0033216589196438,0.0160550686602602
182436,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.00208418222017485,0.0100737882651089
182436,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0546432645625069,0.323474014843893
197449,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,-0.00213313811356763,-0.00652164694432773
197449,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.0382805225104375,-0.117035109480055
197449,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.00821881496733865,0.030774651343402
